index,x,y,z,yaw,distance
65.3120,-0.0002,0.0001,0.0003,0.0144,-0.0073
65.4120,0.0006,0.0001,-0.0000,-0.0047,0.0070
65.5120,0.0001,0.0012,-0.0003,-0.0119,0.0166
65.6120,-0.0005,0.0004,-0.0008,0.0001,0.0022
65.7120,0.0001,0.0004,-0.0003,-0.0119,0.0094
65.8120,-0.0005,0.0015,-0.0003,0.0120,0.0238
65.9120,0.0003,-0.0004,0.0003,0.0049,0.0046
66.0120,-0.0002,0.0001,0.0008,-0.0119,-0.0073
66.1120,0.0006,0.0009,-0.0003,0.0025,0.0190
66.2120,0.0003,-0.0001,0.0005,0.0025,-0.0169
66.3120,-0.0005,0.0009,-0.0003,-0.0119,0.0094
66.4120,0.0003,0.0007,-0.0000,-0.0047,-0.0193
66.5120,0.0006,0.0012,-0.0005,0.0072,-0.0025
66.6120,0.0001,0.0015,-0.0000,0.0120,0.0214
66.7120,-0.0002,0.0004,0.0003,0.0001,0.0046
66.8120,0.0003,-0.0001,-0.0000,0.0049,-0.0001
66.9120,0.0003,-0.0001,0.0003,-0.0071,0.0190
67.0120,0.0003,0.0015,0.0003,0.0120,0.0022
