time,accel x,accel y,accel z,gyro x,gyro y,gyro z
38.960164,0.205307618,0.146346062,0.976078033,-28.116859436,8.486091614,-79.119361877
38.961871,0.207871094,0.126082391,0.977176666,-27.880348206,8.310615540,-80.446876526
38.962497,0.209946290,0.120100953,0.982059479,-27.887977600,8.188545227,-80.912269592
38.963122,0.209946290,0.120100953,0.982059479,-27.887977600,8.188545227,-80.912269592
38.963748,0.207138672,0.114851929,0.986820221,-27.437843323,8.028327942,-81.507362366
38.964373,0.207016602,0.107405640,0.985965729,-27.178443909,8.074104309,-82.262672424
38.964999,0.207382813,0.099715210,0.985843658,-27.071632385,8.135139465,-82.613624573
38.965625,0.206040040,0.093245484,0.987552643,-26.369728088,8.501350403,-83.300270081
38.966251,0.204941407,0.088240601,0.986454010,-26.270545959,8.150398254,-83.605445862
38.966878,0.204208985,0.081160523,0.989139557,-25.896705627,8.508979797,-84.147132874
38.967505,0.201889649,0.075789429,0.988285065,-25.438941956,8.364021301,-84.337867737
38.968130,0.202500001,0.067000367,0.987918854,-24.881996155,8.570014954,-84.940589905
38.968756,0.198105469,0.062972046,0.988895416,-24.592079163,8.714973450,-85.573829651
38.969381,0.194443360,0.058089234,0.989627838,-23.874916077,8.653938293,-85.741676331
38.970015,0.191879883,0.050642945,0.981571198,-23.203529358,8.531867981,-86.184181213
38.970641,0.187729493,0.045027710,0.978885651,-22.646583557,8.562385559,-86.565650940
38.972379,0.182602540,0.026961304,0.968875885,-20.624794006,8.531867981,-87.900794983
38.973012,0.180161133,0.019515015,0.968753815,-19.900001526,8.341133118,-88.099159241
38.973638,0.178940430,0.017928101,0.964237213,-19.297279358,8.249580383,-88.831581116
38.974263,0.176132813,0.012068725,0.962039948,-18.458045959,8.386909485,-88.808692932
38.974888,0.172104493,0.005110717,0.961795807,-17.862953186,8.333503723,-89.327491760
38.975513,0.173325196,0.001814819,0.961429596,-17.275489807,8.196174622,-89.281715393
38.994715,0.052109376,-0.182999641,0.965824127,-7.052101135,6.021797180,-89.831031799
38.995342,0.055527344,-0.187272102,0.967166901,-6.670631409,6.021797180,-89.434303284
38.995968,0.050278321,-0.193375617,0.969852448,-6.365455627,6.235420227,-89.174903870
38.996593,0.048447266,-0.190812141,0.974613190,-6.029762268,6.326972961,-89.129127502
38.997219,0.045395508,-0.191300422,0.971195221,-5.625404358,6.594001770,-88.625587463
38.997844,0.040512696,-0.193253547,0.976078033,-5.152381897,6.609260559,-88.442481995
38.998469,0.034287110,-0.194962531,0.977787018,-5.030311584,6.723701477,-88.083900452
38.999096,0.036972657,-0.199723274,0.979496002,-5.121864319,6.716072083,-87.885536194
38.999723,0.031967774,-0.200333625,0.975955963,-4.931129456,7.021247864,-87.786354065
39.000349,0.033432618,-0.200089484,0.978275299,-4.709877014,7.120429993,-87.412513733
39.000976,0.031723633,-0.198136359,0.979007721,-4.610694885,7.143318176,-87.038673401
39.001601,0.030747071,-0.197770149,0.978885651,-4.496253967,7.669746399,-86.733497620
39.015510,0.003037110,-0.205826789,0.987308502,-8.646644592,10.202705383,-78.531898499
39.016244,0.002915039,-0.205216438,0.985721588,-8.707679749,10.423957825,-78.470863342
39.016871,0.003281250,-0.209366828,0.989505768,-9.035743713,10.523139954,-77.875770569
39.017498,0.003159180,-0.207413703,0.990604401,-9.211219788,10.942756653,-77.402748108
39.018123,0.006699219,-0.213639289,0.992313385,-9.577430725,10.904609680,-77.143348694
39.018749,0.006699219,-0.213273078,0.989871979,-9.691871643,10.874092102,-76.708473206
39.019374,0.011093751,-0.216568977,0.993534088,-9.470619202,11.423408508,-76.464332581
39.019999,0.016220704,-0.218522102,0.994022369,-9.951271057,11.553108215,-76.006568909
39.020626,0.012680665,-0.222672492,0.998172760,-9.562171936,11.797248840,-75.556434631
39.021251,0.015122071,-0.225113899,0.999759674,-9.371437073,12.377082825,-75.289405823
39.021876,0.016953126,-0.227433234,0.998905182,-9.462989807,12.346565247,-75.007118225
39.022501,0.019272462,-0.229508430,1.003299713,-9.165443420,12.705146790,-74.602760315
39.023127,0.017685547,-0.228898078,1.006839752,-9.005226135,12.720405579,-74.244178772
39.023752,0.019272462,-0.230240852,1.003299713,-8.570350647,13.071357727,-73.755897522
39.025507,0.023300782,-0.234513313,1.008548737,-7.609046936,14.086067200,-72.886146545
39.026133,0.026230469,-0.232804328,1.007205963,-7.258094788,14.200508118,-72.642005920
39.026758,0.020249024,-0.235734016,1.009647369,-6.945289612,14.437019348,-72.313941956
39.027383,0.023300782,-0.233658820,1.003787994,-6.472267151,14.742195129,-72.130836487
39.028012,0.022812501,-0.233658820,1.005130768,-5.854286194,14.948188782,-71.756996155
39.028637,0.024887696,-0.233902961,1.000736237,-5.488075256,15.360176086,-71.650184631
39.029263,0.030136719,-0.234147102,1.001712799,-4.450477600,15.375434875,-71.352638245
39.029888,0.030380860,-0.233658820,0.999881744,-4.030860901,15.589057922,-71.093238831
39.030513,0.030747071,-0.228165656,0.996097565,-3.412879944,15.505134583,-70.833839417
39.031139,0.028671876,-0.227555305,0.991214752,-2.665199280,15.901863098,-70.665992737
39.031766,0.033432618,-0.226090461,0.992313385,-2.215065002,15.894233704,-70.635475159
39.032392,0.035996094,-0.222672492,0.987430573,-1.551307678,15.985786438,-70.429481506
39.033017,0.037216797,-0.220841438,0.988285065,-0.811256409,16.107856750,-70.017494202
39.033642,0.038803712,-0.211442024,0.984989166,-0.261940002,16.146003723,-69.948829651
39.034268,0.043320313,-0.207779914,0.985355377,0.333152771,16.466438293,-69.697059631
39.035988,0.048935547,-0.199357063,0.980106354,1.286827087,16.504585266,-69.201148987
39.036614,0.050034180,-0.191544563,0.978763580,1.714073181,16.252815247,-69.414772034
39.037240,0.053574219,-0.191300422,0.980350494,2.034507751,16.458808899,-69.048561096
39.037866,0.054550782,-0.187638313,0.978397369,2.179466248,16.634284973,-69.018043518
39.038491,0.056992188,-0.185563117,0.979007721,2.652488708,16.542732239,-68.743385315
39.039117,0.059921876,-0.181290656,0.978641510,2.683006287,16.496955872,-68.537391663
39.039742,0.063339844,-0.175675422,0.979740143,2.866111755,16.252815247,-68.621315002
39.040368,0.065903321,-0.172013313,0.977787018,2.766929626,16.512214661,-68.331398010
39.040994,0.066269532,-0.165177375,0.974002838,2.866111755,16.451179504,-68.178810120
39.041619,0.071030274,-0.159073859,0.977298737,2.858482361,16.458808899,-68.071998596
39.042244,0.075913087,-0.155655891,0.974002838,2.904258728,16.542732239,-67.850746155
39.042870,0.079575196,-0.151139289,0.972049713,2.484642029,16.641914368,-67.660011292
39.043496,0.083847657,-0.146866828,0.969974518,2.324424744,16.588508606,-67.644752502
39.044121,0.083481446,-0.144669563,0.971073151,2.171836853,16.786872864,-67.492164612
39.044746,0.088486329,-0.139054328,0.964115143,1.645408630,16.596138000,-67.293800354
39.046483,0.091049805,-0.131485969,0.955814362,0.653587341,16.802131653,-67.118324280
39.047109,0.095810547,-0.128312141,0.954105377,0.378929138,16.619026184,-66.973365784
39.047735,0.097519532,-0.125382453,0.954959869,0.157676697,16.512214661,-66.706336975
39.048360,0.099960938,-0.124772094,0.953495026,-0.391639709,16.443550110,-66.691078186
39.063022,0.085800782,-0.150895149,0.927005768,-10.279335022,13.452827454,-64.852394104
39.063770,0.087021485,-0.153336555,0.926883698,-10.462440491,13.101875305,-65.210975647
39.064395,0.088852540,-0.155900031,0.931034088,-10.996498108,13.292610168,-64.760841370
39.065021,0.089340821,-0.152115852,0.932254791,-11.316932678,13.216316223,-64.501441956
39.065647,0.091782227,-0.152604133,0.934696198,-11.904396057,13.338386536,-64.577735901
39.066274,0.093247071,-0.153702766,0.934329987,-12.118019104,13.216316223,-64.417518616
39.066899,0.089951172,-0.156510383,0.937259674,-12.743629456,13.033210754,-64.432777405
39.067524,0.088852540,-0.164078742,0.942508698,-13.018287659,13.056098938,-64.226783752
39.068149,0.093735352,-0.172501594,0.944950104,-13.689674377,13.017951965,-63.967384338
39.068776,0.101303712,-0.169938117,0.940433502,-14.078773499,12.934028625,-63.387550354
39.069402,0.105087891,-0.170060188,0.938480377,-14.422096252,12.964546204,-63.631690979
39.070027,0.106918946,-0.171402961,0.936893463,-14.918006897,13.101875305,-63.410438538
39.070652,0.108017579,-0.179947883,0.934329987,-15.040077209,13.544380188,-63.418067932
39.071278,0.106796876,-0.182999641,0.934696198,-15.261329651,13.574897766,-63.517250061
39.072989,0.100083008,-0.185441047,0.924808502,-15.597023010,13.651191711,-63.120521545
39.073615,0.089951172,-0.188614875,0.921024323,-15.803016663,13.475715637,-62.784828186
39.074240,0.084946290,-0.193253547,0.922611237,-16.115821838,13.216316223,-62.563575745
39.074866,0.085922852,-0.194596320,0.917240143,-16.260780334,13.223945618,-62.555946350
39.075491,0.085068360,-0.198868781,0.915042877,-16.070045471,12.567817688,-62.525428772
39.076116,0.086411133,-0.205216438,0.912113190,-16.710914612,12.621223450,-62.182106018
39.076743,0.087143555,-0.211442024,0.906742096,-16.611732483,12.697517395,-61.983741760
39.077368,0.090317383,-0.216568977,0.904300690,-16.718544006,12.239753723,-61.899818420
39.077993,0.088974610,-0.223771125,0.907352448,-16.626991272,12.804328918,-61.777748108
39.078620,0.085190430,-0.225480109,0.905399323,-16.634620667,12.239753723,-61.609901428
39.079246,0.080673829,-0.228653938,0.902103424,-16.420997620,11.972724915,-61.365760803
