time,r00,r01,r02,r10,r11,r12,r20,r21,r22
5.019845962524414062e+01,9.964692592620849609e-01,2.954304218292236328e-03,8.390615135431289673e-02,1.164153218269348145e-10,9.993806481361389160e-01,-3.518782556056976318e-02,-8.395814150571823120e-02,3.506358712911605835e-02,9.958521127700805664e-01
5.021272659301757812e+01,9.963212609291076660e-01,2.846137154847383499e-03,8.564810454845428467e-02,-1.164153218269348145e-10,9.994481801986694336e-01,-3.321225196123123169e-02,-8.569538593292236328e-02,3.309007734060287476e-02,9.957715868949890137e-01
5.022797775268554688e+01,9.962030649185180664e-01,2.763758180662989616e-03,8.701467514038085938e-02,0.000000000000000000e+00,9.994958639144897461e-01,-3.174597024917602539e-02,-8.705855906009674072e-02,3.162543475627899170e-02,9.957009553909301758e-01
5.027860260009765625e+01,9.966211318969726562e-01,1.579722389578819275e-03,8.211982250213623047e-02,1.164153218269348145e-10,9.998149275779724121e-01,-1.923323795199394226e-02,-8.213502168655395508e-02,1.916825398802757263e-02,9.964367747306823730e-01
5.031706237792968750e+01,9.965557456016540527e-01,1.213284442201256752e-03,8.291478455066680908e-02,5.820766091346740723e-11,9.998927712440490723e-01,-1.463134121149778366e-02,-8.292366564273834229e-02,1.458094920963048935e-02,9.964490532875061035e-01
5.033120346069335938e+01,9.964753389358520508e-01,1.013193745166063309e-03,8.388251066207885742e-02,0.000000000000000000e+00,9.999272227287292480e-01,-1.207784377038478851e-02,-8.388863503932952881e-02,1.203527115285396576e-02,9.964026212692260742e-01
5.034664535522460938e+01,9.963951706886291504e-01,8.621917804703116417e-04,8.483438193798065186e-02,0.000000000000000000e+00,9.999487996101379395e-01,-1.016271300613880157e-02,-8.483876287937164307e-02,1.012607291340827942e-02,9.963437318801879883e-01
5.038498687744140625e+01,9.970146417617797852e-01,6.143847713246941566e-04,7.721283286809921265e-02,-2.037268131971359253e-10,9.999685883522033691e-01,-7.956775836646556854e-03,-7.721527665853500366e-02,7.933019660413265228e-03,9.969831109046936035e-01
5.042337036132812500e+01,9.969593882560729980e-01,1.060484559275209904e-03,7.792099565267562866e-02,4.656612873077392578e-10,9.999078512191772461e-01,-1.360849011689424515e-02,-7.792820781469345093e-02,1.356710586696863174e-02,9.968670606613159180e-01
5.043763351440429688e+01,9.968338608741760254e-01,1.241910271346569061e-03,7.950503379106521606e-02,1.746229827404022217e-10,9.998782277107238770e-01,-1.561862044036388397e-02,-7.951473444700241089e-02,1.556916721165180206e-02,9.967122673988342285e-01
